# mesh name: boxMesh_1
# primitive scorer name: dDep
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,132,2.174941491870406e-09,4.50663215795471e-21,1860
0,0,133,2.185518804093233e-09,5.337529307833155e-21,1855
0,0,134,2.313747137833934e-09,1.536073438165504e-20,1858
0,0,135,2.229491846021511e-09,5.973970445962431e-21,1848
0,0,136,2.192102927799551e-09,4.85110936000586e-21,1852
0,0,137,2.165718262375083e-09,3.929227065432458e-21,1849
0,0,138,2.219487830622019e-09,5.076823477742632e-21,1851
0,0,139,2.206751788717258e-09,4.817565299218577e-21,1849
0,0,140,2.177493012678879e-09,3.938975220103111e-21,1842
0,0,141,2.169548981343933e-09,3.783291881766335e-21,1841
0,0,142,2.194197393631383e-09,4.034486721272187e-21,1848
0,0,143,2.1881823795205e-09,4.074275901070432e-21,1846
0,0,144,2.169478760704353e-09,3.449174567981866e-21,1836
0,0,145,2.216309587255419e-09,5.275769618204399e-21,1843
0,0,146,2.192189440861568e-09,3.549217291631979e-21,1838
0,0,147,2.232250285794178e-09,4.993391540719373e-21,1838
0,0,148,2.27449634093053e-09,6.832169228514014e-21,1833
0,0,149,2.285202019358709e-09,5.323717008348335e-21,1832
0,0,150,2.25626780242868e-09,5.111782946064648e-21,1826
0,0,151,2.257872993963629e-09,7.44653555405121e-21,1827
0,0,152,2.263509703897071e-09,5.305436941209408e-21,1824
0,0,153,2.258348983345893e-09,4.4298345230407e-21,1823
0,0,154,2.252552111785285e-09,4.61093802595003e-21,1818
0,0,155,2.308543694343615e-09,5.305258876083504e-21,1819
0,0,156,2.294857132512828e-09,5.270697191423691e-21,1813
0,0,157,2.259664491020749e-09,4.529534532679889e-21,1809
0,0,158,2.331940405755913e-09,6.181403933848819e-21,1810
0,0,159,2.381755908478669e-09,9.933557661350731e-21,1808
0,0,160,2.297169449697018e-09,4.530536653318614e-21,1814
0,0,161,2.255162893812832e-09,3.541644916942431e-21,1806
0,0,162,2.354943983444216e-09,6.96634237744765e-21,1802
0,0,163,2.308357075554259e-09,4.132651487597572e-21,1797
0,0,164,2.331554381061371e-09,5.131373511485759e-21,1801
0,0,165,2.318567635074094e-09,3.955512674567237e-21,1795
0,0,166,2.367105546074263e-09,4.76810143265016e-21,1801
0,0,167,2.371336087454301e-09,5.616680477576753e-21,1796
0,0,168,2.466336457461737e-09,9.466241141520752e-21,1793
0,0,169,2.356757120485709e-09,4.393853529625995e-21,1788
0,0,170,2.350072404648945e-09,4.563633960432964e-21,1793
0,0,171,2.396586442910891e-09,6.641269888754181e-21,1791
0,0,172,2.346701154151285e-09,4.256315017323036e-21,1782
0,0,173,2.423778437886044e-09,6.304403743485276e-21,1779
0,0,174,2.374818142497749e-09,4.53423917894063e-21,1774
0,0,175,2.414829059109925e-09,5.344924330771224e-21,1786
0,0,176,2.42857941262851e-09,7.34658471921777e-21,1772
0,0,177,2.425557268942001e-09,4.962083708791845e-21,1776
0,0,178,2.479569325183609e-09,6.06538163206632e-21,1772
0,0,179,2.495669401910608e-09,5.788223228299654e-21,1770
0,0,180,2.488686947457864e-09,5.827428621680648e-21,1773
