0 , 2 , 5 , 1000 , 0 , 0.155859 , -75.1
0 , 2 , 5 , 1001 , -0.0408792 , 1.4434 , -25.1
0 , 2 , 6 , 1002 , -0.0593583 , 3.98657 , 24.9
0 , 2 , 8 , 1003 , -0.11767 , 7.78745 , 74.9
1 , 2 , 5 , 1000 , 0 , 0.155865 , -75.1
1 , 2 , 5 , 1001 , -0.0106906 , 1.37652 , -25.1
1 , 2 , 6 , 1002 , -0.0315455 , 3.84657 , 24.9
1 , 2 , 8 , 1003 , -0.0567461 , 7.55645 , 74.9
2 , 2 , 5 , 1000 , -0.00214629 , 0.155821 , -75.1
2 , 2 , 5 , 1001 , -0.0329835 , 1.41405 , -25.1
2 , 2 , 6 , 1002 , -0.0807138 , 3.90506 , 24.9
2 , 2 , 8 , 1003 , -0.0725695 , 7.60844 , 74.9
3 , 2 , 5 , 1000 , 0 , 0.155855 , -75.1
3 , 2 , 5 , 1001 , -0.0585329 , 1.41587 , -25.1
3 , 2 , 6 , 1002 , -0.10561 , 3.9327 , 24.9
3 , 2 , 8 , 1003 , -0.126833 , 7.67766 , 74.9
4 , 2 , 5 , 1000 , 0 , 0.155849 , -75.1
4 , 2 , 5 , 1001 , -0.0445864 , 1.41786 , -25.1
4 , 2 , 6 , 1002 , -0.16952 , 3.85277 , 24.9
4 , 2 , 8 , 1003 , -0.262249 , 7.54144 , 74.9
5 , 2 , 5 , 1000 , 0 , 0.155865 , -75.1
5 , 2 , 5 , 1001 , -0.0194336 , 1.40039 , -25.1
5 , 2 , 6 , 1002 , -0.0993545 , 3.89404 , 24.9
5 , 2 , 8 , 1003 , -0.14959 , 7.63367 , 74.9
6 , 2 , 5 , 1000 , 0.000158481 , 0.155877 , -75.1
6 , 2 , 5 , 1001 , -0.0106722 , 1.35529 , -25.1
6 , 2 , 6 , 1002 , -0.0245324 , 3.80717 , 24.9
6 , 2 , 8 , 1003 , -0.029706 , 7.54866 , 74.9
7 , 2 , 5 , 1000 , 0 , 0.155844 , -75.1
7 , 2 , 5 , 1001 , -0.0395343 , 1.54428 , -25.1
7 , 2 , 7 , 1002 , -0.0600568 , 4.15371 , 24.9
7 , 2 , 9 , 1003 , -0.125511 , 8.06944 , 74.9
8 , 2 , 5 , 1000 , 0 , 0.155865 , -75.1
8 , 2 , 5 , 1001 , -0.0224875 , 1.42348 , -25.1
8 , 2 , 6 , 1002 , -0.0546664 , 3.99358 , 24.9
8 , 2 , 7 , 1002 , -0.0544974 , 4 , 24.9894
8 , 2 , 9 , 1003 , 0.0538298 , 8.1057 , 74.9
9 , 2 , 5 , 1000 , 0 , 0.155865 , -75.1
9 , 2 , 5 , 1001 , 0.0259411 , 1.39709 , -25.1
9 , 2 , 6 , 1002 , 0.0426266 , 3.90702 , 24.9
9 , 2 , 8 , 1003 , 0.0459025 , 7.69958 , 74.9
10 , 2 , 5 , 1000 , 0 , 0.155865 , -75.1
10 , 2 , 5 , 1001 , -0.0597213 , 1.39535 , -25.1
10 , 2 , 6 , 1002 , -0.121728 , 3.94103 , 24.9
10 , 2 , 8 , 1003 , -0.169929 , 7.75606 , 74.9
11 , 2 , 5 , 1000 , 0 , 0.155865 , -75.1
11 , 2 , 5 , 1001 , -0.0184503 , 1.3759 , -25.1
11 , 2 , 6 , 1002 , -0.0774294 , 3.85603 , 24.9
11 , 2 , 8 , 1003 , -0.174406 , 7.61822 , 74.9
12 , 2 , 5 , 1000 , 0 , 0.155844 , -75.1
12 , 2 , 5 , 1001 , -0.0513054 , 1.40965 , -25.1
12 , 2 , 6 , 1002 , -0.040497 , 3.92295 , 24.9
12 , 2 , 8 , 1003 , 0.00915838 , 7.7217 , 74.9
13 , 2 , 5 , 1000 , -2.89179e-06 , 0.152151 , -75.1
13 , 2 , 5 , 1001 , 0.013459 , 1.41892 , -25.1
13 , 2 , 6 , 1002 , 0.00845718 , 3.9815 , 24.9
13 , 2 , 8 , 1003 , 0.0454447 , 7.78177 , 74.9
14 , 2 , 5 , 1000 , 0 , 0.155865 , -75.1
14 , 2 , 5 , 1001 , -0.0293142 , 1.55686 , -25.1
14 , 2 , 7 , 1002 , -0.0292412 , 4.17828 , 24.9
